Calorie,Carbohydrates,Cholesterol,Fat,Fiber,Potassium,Protein,Saturated Fat,Serving Size,Sodium,Sugar,Turkish Name
52.9,0.7,0,0.2,0.0,15,10.9,0.0,100.0,165,0.7,yumurta beyazı
18.1,0.1,0,0.0,0.0,4,0.0,0.0,100.0,2,0.1,sirke
264.9,4.2,88,21.2,0.0,335,14.2,15.0,100.0,933,4.1,beyaz peynir
358.9,44.6,2,16.5,1.5,165,7.0,4.3,100.0,581,2.2,petibör bisküvi
301.2,0.0,98,20.5,0.0,187,24.4,8.8,100.0,71,0.0,kuzu but 
44.7,10.1,0,0.2,1.4,35,1.4,0.0,100.0,2,4.7,orta boy kuru soğan
18.2,3.9,0,0.2,1.2,23,0.9,0.0,100.0,4,2.6,orta boy domates
405.3,3.2,99,32.7,0.0,453,22.9,18.8,100.0,653,0.5,kaşar peyniri
34.7,8.7,0,0.2,2.5,15,0.8,0.0,100.0,0,3.2,orta boy patlıcan
253.3,64.7,0,3.0,24.9,160,10.4,1.3,100.0,20,0.4,taze çekilmiş tane karabiber
180.5,0.0,127,8.9,0.0,201,24.0,2.4,100.0,97,0.0,tavuk budu
158.8,30.7,0,0.9,1.8,58,5.9,0.2,100.0,0,0.6,tel şehriye
405.2,98.6,0,0.0,0.0,2,0.0,0.0,100.0,38,63.5,nane 
166.2,0.0,85,3.5,0.0,226,31.0,1.0,100.0,72,0.0,kuşbaşı tavuk göğsü
254.5,63.0,0,3.0,25.2,155,10.5,1.3,100.0,19,0.4,tane karabiber
51.3,4.9,8,1.9,0.0,100,3.5,1.2,100.0,52,0.0,soğuk süt
527.5,49.0,0,36.4,20.7,210,5.9,26.2,100.0,15,3.2,muskat cevizi rendesi
166.2,0.0,85,3.5,0.0,226,31.0,1.0,100.0,72,0.0,tavuk göğsü
27.5,6.8,0,0.2,1.2,18,0.9,0.0,100.0,2,3.2,yeşil biber
27.8,6.8,0,0.2,1.2,17,0.9,0.0,100.0,2,4.4,kırmızı biber
18.5,3.9,0,0.2,1.2,23,0.9,0.0,100.0,5,2.6,doğranmış domates
405.2,98.6,0,0.0,0.0,2,0.0,0.0,100.0,38,63.5,kuru nane
248.5,63.1,0,3.0,25.4,160,10.5,1.3,100.0,19,0.4,kırmızı kapya biber
222.6,0.0},92,12.9,0.0,179,23.7,3.7,100.0,72,0.0,tavuk baget
335.6,64.1,0,14.8,42.0,69,5.0,7.5,100.0,50,0.0,taze biberiye
18.2,3.9,0,0.2,1.2,23,0.9,0.0,100.0,4,2.6,domates
259.2,48.7,0,3.4,2.6,99,8.9,0.7,100.0,482,5.6,sandviç ekmeği
144.8,0.0,106,3.3,0.0,251,29.8,1.0,100.0,213,0.0,tavuk bonfile
248.5,63.1,0,3.0,25.4,160,10.5,1.3,100.0,19,0.4,kapya biber
27.6,6.8,0,0.2,1.2,17,0.9,0.0,100.0,2,3.2,sarı dolmalık biber
91.3,21.3,0,0.4,4.1,75,4.7,0.1,100.0,339,7.9,fasulye
27.8,6.8,0,0.2,1.2,17,0.9,0.0,100.0,2,4.4,toz kırmızı biber
248.5,63.1,0,3.0,25.4,160,10.5,1.3,100.0,19,0.4,beyaz biber
112.4,19.3,0,0.4,7.9,177,9.1,0.1,100.0,233,1.8,kırmızı ya da sarı mercimek
248.5,63.1,0,3.0,25.4,160,10.5,1.3,100.0,19,0.4,kırmızı toz biber
102.7,25.1,0,1.2,13.6,106,5.0,0.0,100.0,8,0.0,kuru kekik
44.3,7.1,0,1.0,2.0,66,3.0,0.0,100.0,61,0.0,doğranmış dereotu
542.0,60.9,8,31.9,7.0,205,4.8,18.7,100.0,24,48.3,eritilmiş bitter çikolata
